canonical_ticker,session_date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,source_symbol,delisting_return,corporate_action_note
CAR,2026-06-09,181.800003051758,183.740005493164,175,181.339996337891,569500,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-10,180.75,188.100006103516,179.5,186.830001831055,553500,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-11,187.020004272461,191.169998168945,184.050003051758,189.610000610352,740100,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-12,191.679992675781,191.679992675781,184.5,187.119995117188,279000,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-15,187.380004882812,191.080001831055,185,190.070007324219,456900,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-16,187.5,191.970001220703,185,185.490005493164,304300,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-17,185.490005493164,187.490005493164,178.320007324219,180.880004882812,375500,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-18,181.339996337891,191.210006713867,181.160003662109,188.429992675781,939900,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-22,187.649993896484,189.940002441406,184.460006713867,186.279998779297,329800,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-23,193.199996948242,197.279998779297,188.080001831055,190.460006713867,566600,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-24,183.880004882812,186.580001831055,174.449996948242,175.289993286133,633900,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-25,174.740005493164,176.5,163.550003051758,165.199996948242,2316100,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-26,164.649993896484,170.740005493164,164.369995117188,166.490005493164,1075400,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-06-29,164.699996948242,168,154.059997558594,155.179992675781,1372900,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
